"first_name","last_name","season","season_type","league","team","games","starts","minutes","points","plus_minus","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","offensive_fouls","charges_drawn","technical_fouls","flagrant_fouls","ejections","points_off_turnovers","points_in_paint","second_chance_points","fast_break_points","possessions","estimated_possessions","calculated_possessions","plays_used","team_possessions","usage_percentage","true_shooting_percentage","three_point_attempt_rate","free_throw_rate","offensive_rebounding_percentage","defensive_rebounding_percentage","total_rebounding_percentage","assist_percentage","steal_percentage","block_percentage","turnover_percentage","internal_box_plus_minus"
"Youssou","Mercer Jr.",2011,"Full Season","NBA","Warriors",23,0,195.9167,57,4,23,54,0,0,11,19,14,23,35,10,0,9,4,0,0,5,28,0,0,0,0,0,0,0,0,0,0,401,386.9761,401,73,7833.674,16.0671,0.457,0,0.3519,13.8566,21.506,17.052,9.4939,1.1171,1.8083,12.6121,-5.3753
"Youssou","Mercer Jr.",2012,"Full Season","NBA","Rockets",8,0,62.75,21,-15,7,16,0,0,7,12,2,5,17,1,0,2,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,133.5,119.8646,133.5,24,6397.06445,16.8591,0.4934,0,0.6449,9.1738,32.4377,20.1303,2.0912,0,2.6532,8.5911,-4.2477
"Youssou","Mercer Jr.",2013,"Full Season","NBA","Bobcats",52,5,713.05,209,-91,72,166,0,2,65,100,17,68,128,36,0,32,18,0,0,27,80,0,0,0,0,0,0,0,0,0,0,1435,1358.559,1435,254,7546.8092,15.5645,0.4929,0.0119,0.5952,11.1596,22.8273,14.8554,10.4895,1.4132,3.2871,13.1148,-0.9702
"Youssou","Mercer Jr.",2014,"Full Season","NBA","Jazz",53,12,961.9333,362,-73,143,275,0,0,76,119,27,102,204,38,0,39,24,0,0,36,108,0,0,0,2,0,0,0,0,0,0,1971,1842.2744,1971,374,7715.8159,17.2966,0.5537,0,0.46,11.2375,25.5875,17.2351,6.6249,1.5054,3.4138,11.012,-1.0086
"Youssou","Mercer Jr.",2015,"Full Season","NBA","Timberwolves",17,0,215.3167,60,-14,19,44,0,0,22,38,9,23,54,15,0,9,4,0,0,9,30,0,0,0,0,0,0,0,0,0,0,464,423.478,464,74,7790.3697,14.2836,0.4941,0,0.6449,11.6584,30.3976,21.479,12.5651,0.8353,3.002,12.9088,-2.369
"Pascolo","Palsson",2011,"Full Season","NBA","Timberwolves",4,0,29,15,-6,3,7,3,4,0,0,0,0,2,1,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,62,58.2804,62,15,7950.256,22.0452,0.6818,0.3636,0,0,9.5044,3.7891,6.5955,1.9462,0,26.6667,-0.4714
"McAdoo","Black",2012,"Full Season","NBA","Jazz",7,0,37.9833,15,-6,3,7,3,10,0,0,0,0,2,3,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,78,72.3736,78,22,6526.0125,25.9515,0.4412,0.5882,0,0,7.4515,4.351,12.6406,0,0,22.7273,-9.79585
"Aldemir","Kalaitzakis",2010,"Full Season","NBA","Bobcats",6,0,29.5167,10,4,5,10,0,0,0,1,1,1,3,0,0,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,58.5,55.419,58.5,13,7825.6199,19.6402,0.4789,0,0.1,3.6815,12.1873,8.3891,0,2.0673,2.9136,16.0772,-5.5472
"Aldemir","Kalaitzakis",2011,"Full Season","NBA","Jazz",34,2,339.85,143,1,47,99,12,34,13,18,5,17,61,10,0,18,11,0,0,19,73,0,0,0,0,0,0,0,0,0,0,709.5,653.5093,709.5,161,8022.9831,21.1898,0.5088,0.2566,0.1364,5.5183,22.5235,13.6702,4.8929,1.5014,4.1788,11.2678,-3.5931
"Aldemir","Kalaitzakis",2014,"Full Season","NBA","Pelicans",56,30,950.5833,328,-100,136,248,0,1,56,67,15,94,183,40,0,63,23,0,0,46,187,0,0,0,0,0,0,0,0,0,0,1916,1825.3863,1916,349,7625.4324,16.3182,0.5889,0.004,0.2691,12.105,24.7652,17.1018,9.172,1.4333,4.1843,18.4491,-2.6428
"Aldemir","Kalaitzakis",2015,"Full Season","NBA","Pelicans",71,8,967,451,-20,185,333,0,0,81,99,18,104,212,48,0,69,22,0,0,51,153,0,0,0,1,0,0,0,0,0,0,1920.5,1840.9658,1920.5,451,7906.4437,21.031,0.5988,0,0.2973,11.5804,25.4306,19.6478,10.3893,1.2092,3.9963,15.4861,1.9133
"Aldemir","Kalaitzakis",2016,"Full Season","NBA","Pelicans",59,17,860.7,352,-64,150,314,0,1,52,62,12,75,194,31,0,54,19,0,0,36,134,0,0,0,2.5,0,0,0,0,0,0,1822.5,1735.4548,1822.5,401,7976.5993,20.3643,0.5142,0.0032,0.1968,8.7873,26.3696,17.8785,6.5036,0.9135,3.5634,13.6267,-3.9943
"Aldemir","Kalaitzakis",2017,"Full Season","NBA","Pelicans",39,15,584.35,207,-64,89,174,0,4,29,40,13,46,131,12,10,31,20,30,15,22,77,0,0,0,1,0,0,0,0,0,0,1264,1193.3156,1264,233,8129.6989,17.1796,0.5291,0.0225,0.2247,9.5327,25.0435,16.645,2.699,1.7993,3.021,13.6805,-3.331
"Laquintana","Wooten",2013,"Full Season","NBA","Mavericks",3,0,8.7,5,-5,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,17.0468,18,4,7829.7857,20.9483,0.625,0.5,0,0,14.6199,6.375,22.5545,0,0,0.7082,-2.9983
"Vashil","Emchenko",2015,"Full Season","NBA","76ers",41,9,540.4833,93,-102,40,73,0,5,13,27,10,78,98,28,0,17,17,0,0,16,96,0,0,0,0,0,0,0,0,0,0,1145,1078.054,1145,109,7900.6545,8.6176,0.5174,0.0641,0.3462,14.1145,21.7711,16.6142,7.3651,1.4014,2.8394,15.9057,-1.5321
"Mehmet","Cook",2010,"Full Season","NBA","Bulls",8,0,28.9,4,-10,1,5,0,1,2,3,0,2,3,2,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,64.5,56.0239,64.5,6,8182.5936,11.3804,0.33845,0.1667,0.5,8.8802,12.9224,8.635,7.7081,2.0647,2.3477,0.7082,-8.3208
"Pittman","Pierre",2020,"Full Season","NBA","Heat",2,0,13.3667,2,-3,1,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.5,27.2338,31.5,3,9304.9873,9.9498,0.5,0,0,18.5098,10.1841,14.1829,0,0,0,26.6754,-9.79585
"DeQuan","Brnovic",2018,"Full Season","NBA","Celtics",16,1,107.0667,19,-20,6,11,0,11,7,9,1,4,7,12,5,9,3,8,2,2,15,0,0,0,0,0,0,0,0,0,0,234,212.995,234,35,9714.0825,14.6676,0.3659,0.5,0.4091,4.763,7.1017,5.4618,14.8993,1.4111,1.4446,25.7437,-7.5664
"DeQuan","Brnovic",2019,"Full Season","NBA","Knicks",19,1,415.55,189,-37,48,105,17,36,42,54,6,8,43,76,4,26,16,29,15,4,46,0,0,0,0,0,0,0,0,0,0,902.5,862.2365,902.5,194,8208.4165,19.627,0.5736,0.2553,0.383,3.3199,11.1947,5.7658,28.0493,2.0383,0.5764,13.6297,0.4543
"DeQuan","Brnovic",2020,"Full Season","NBA","Knicks",10,0,117.05,50,-21,14,28,5,16,7,11,2,2,7,21,2,8,5,14,4,2,7,0,0,0,0,0,0,0,0,0,0,260.5,240.4097,260.5,57,6558.1227,20.6079,0.5119,0.3636,0.25,1.6102,6.5641,4.6654,28.6361,2.203,1.5989,14.0746,-1.0017
"Strawberry","Hite",2012,"Full Season","NBA","Wizards",4,0,66.6,14,34,5,14,1,3,1,3,0,1,7,2,0,1,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,136,128.3855,136,20,6397.06445,12.9773,0.3821,0.1765,0.1765,2.2927,12.7178,5.775,6.7594,3.332,0,5.176,-1.6872
"Sosa","Puerto",2012,"Full Season","NBA","Raptors",17,12,460.7333,163,-29,31,81,24,61,29,34,7,8,26,26,0,25,5,0,0,3,35,0,0,0,1,0,0,0,0,0,0,895.5,856.7856,895.5,184,6397.06445,18.6119,0.5192,0.4296,0.2394,1.0786,6.5082,3.9161,11.7969,0.6884,0.4386,13.7393,-3.0236
"Sosa","Puerto",2013,"Full Season","NBA","Raptors",65,2,1495,693,-79,141,331,95,285,126,147,30,34,114,103,0,80,48,0,0,7,131,0,0,0,2.5,0,0,0,0,0,0,2998,2815.3974,2998,767,7525.3031,23.602,0.509,0.4627,0.2386,3.9574,10.4961,7.1645,10.313,1.7061,0.2751,10.5169,-1.8731
"Sosa","Puerto",2014,"Full Season","NBA","Nets",90,28,2033.55,635,-69,126,268,93,279,104,136,27,50,157,96,0,72,58,0,0,11,179,0,0,0,2.5,0,0,0,0,0,0,4087,3847.0458,4087,690,8611.4198,15.7604,0.5232,0.5101,0.2486,4.2629,9.6142,6.5991,6.5065,1.3697,0.2144,10.6063,-2.652
"Sosa","Puerto",2015,"Full Season","NBA","Nets",80,19,1886.1333,611,-46,137,255,83,226,88,110,29,33,192,90,0,68,60,0,0,6,157,0,0,0,2,0,0,0,0,0,0,3949,3647.042,3949,606,8273.9074,14.4542,0.5771,0.4699,0.2287,2.789,12.8096,8.0647,8.8037,1.6639,0.3872,11.3827,-1.0885
"Sosa","Puerto",2016,"Full Season","NBA","Wizards",13,0,192.1833,65,31,9,22,12,37,11,15,3,1,26,14,0,2,4,0,0,1,25,0,0,0,2,0,0,0,0,0,0,413.5,394.212,413.5,69,8104.4057,15.3861,0.4954,0.6271,0.2542,1.0996,14.4592,8.5015,11.9256,0.823,0.5809,2.9586,-2.246
"Sosa","Puerto",2017,"Full Season","NBA","Clippers",30,0,308.3667,86,-77,16,36,14,44,12,16,0,3,21,11,1,7,3,9,10,0,35,0,0,0,0,0,0,0,0,0,0,641.5,613.9722,641.5,95,8535.6144,13.7383,0.494,0.55,0.2,0.2474,9.0887,4.8023,4.395,0.6945,0,7.4436,-6.0958
"Alexis","Macura",2010,"Full Season","NBA","Rockets",63,0,890.8167,367,27,120,262,27,78,46,67,20,54,154,44,0,37,15,0,0,12,119,0,0,0,2,0,0,0,0,0,0,1822,1745.3174,1822,414,7799.7065,20.1822,0.4966,0.2294,0.1971,7.4453,19.8928,13.9791,8.1202,1.1094,0.809,9.1025,-2.6191
"Alexis","Macura",2011,"Full Season","NBA","Jazz",40,0,372.5333,134,20,48,98,8,23,14,22,11,20,64,13,0,22,5,0,0,9,40,0,0,0,1,0,0,0,0,0,0,756.5,700.4145,756.5,156,7766.0568,19.1277,0.5142,0.1906,0.1811,6.5067,20.0852,15.0605,5.5388,0.9115,2.3907,14.3866,-3.4449
"Edo","Beliauskas",2011,"Full Season","NBA","Spurs",25,2,286.2167,94,-47,13,35,18,46,14,18,6,2,21,18,0,13,3,0,0,6,24,0,0,0,0,0,0,0,0,0,0,594.5,549.7906,594.5,104,8161.8602,16.3994,0.5286,0.5679,0.2222,0.7908,8.1635,3.626,7.5927,0.8323,1.9829,12.7551,-1.8242
"Edo","Beliauskas",2012,"Full Season","NBA","Spurs",59,2,634.2167,201,91,49,111,21,72,40,54,14,16,68,44,0,30,9,0,0,2,36,0,0,0,0,0,0,0,0,0,0,1346,1226.3707,1346,238,7463.9964,17.0921,0.4861,0.3934,0.2951,4.2271,10.9495,7.7063,11.8687,0.9244,0.0368,12.6711,-3.7737
"Edo","Beliauskas",2013,"Full Season","NBA","Jazz",41,2,418.9833,151,85,32,68,21,63,24,28,6,19,57,42,0,25,15,0,0,5,27,0,0,0,0,0,0,0,0,0,0,894,832.7976,894,168,8771.3159,17.7904,0.5285,0.4792,0.2198,5.9863,15.2546,9.5074,17.0932,1.8199,1.234,14.916,0.4433
"Edo","Beliauskas",2014,"Full Season","NBA","76ers",80,55,2309.2333,810,-209.5,194,366,107.5,305.5,77,106,39,59,241,149,0,106,74,0,0,28,154,0,0,0,0,0,0,0,0,0,0,5043.5,4770.1939,5043.5,877,8202.913,15.9465,0.5304,0.4895,0.1478,2.4109,11.2932,7.8068,12.0291,1.4708,1.1703,12.189,-2.5494
"Edo","Beliauskas",2016,"Full Season","NBA","Kings",51,15,721,179,-82,44,92,23,86,22,29,11,13,73,41,0,42,21,0,0,14,54,0,0,0,0,0,0,0,0,0,0,1596,1501.3831,1596,231,8248.2366,13.7082,0.4692,0.4831,0.1629,1.5169,12.7063,6.4516,8.0399,1.6953,1.9825,18.0443,-2.5805
"Per","Bayless",2016,"Full Season","NBA","Knicks",2,0,6.25,6,-6,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,12.1606,14,4,7706.8773,28.951,0.70045,0.25,0,0,17.1147,10.2924,0,0,0,0.7082,5.78375
"Per","Bayless",2020,"Full Season","NBA","Bucks",20,2,128.5833,55,-16,24,38,0,10,7,17,3,12,12,15,2,12,7,6,5,2,18,0,0,0,1,0,0,0,0,0,0,303.5,276.7158,303.5,70,8720.0434,22.0156,0.4957,0.2083,0.3542,10.3016,8.628,8.5207,18.1579,2.4365,1.3172,17.783,-1.2496
"Per","Bayless",2021,"Full Season","NBA","Bucks",25,0,219.9167,56,-46,22,32,2,9,6,13,0,25,28,18,10,19,7,19,12,5,33,0,0,0,1,0,0,0,0,0,0,503.5,464.5339,503.5,67,6397.06445,12.5744,0.5993,0.2195,0.3171,12.6231,13.7084,13.3882,8.6978,1.3974,2.2381,26.6754,-3.1377
"Al","Garuba",2014,"Full Season","NBA","Hawks",56,33,1094.35,374,154.5,71,140,59,196,55,74,16,67,169,63,0,63,24,0,0,15,152,0,0,0,2.5,0,0,0,0,0,0,2278,2150.5008,2278,435,8453.8353,17.9607,0.5074,0.5833,0.2202,8.0493,19.7782,13.3588,9.463,1.3884,1.3703,14.5982,-3.3239
"Al","Garuba",2015,"Full Season","NBA","Hawks",78,4,1235.9833,419,148,61,141,63,205,108,148,19,67,165,53,0,54,20,0,0,17,170,0,0,0,2.5,0,0,0,0,0,0,2654.5,2417.0098,2654.5,475,9237.9516,17.1955,0.5096,0.5925,0.4277,6.7361,15.9202,10.7813,8.551,0.9349,1.3616,11.6099,-4.1744
"Khalifa","Torres",2010,"Full Season","NBA","Jazz",33,0,335.3167,71,-35,28,78,0,1,15,32,11,27,54,21,0,22,15,0,0,12,59,0,0,0,0,0,0,0,0,0,0,694,649.8117,694,116,7692.5284,15.5133,0.3901,0.0071,0.4412,9.1442,18.7864,13.6753,11.0882,2.1107,2.3877,18.8863,-6.1283
"Khalifa","Torres",2011,"Full Season","NBA","Jazz",61,2,524.25,97,-102,36,77,2,4,19,39,14,46,95,15,0,30,21,0,0,21,91,0,0,0,1,0,0,0,0,0,0,1098,1013.3298,1098,132,7916.4783,10.9917,0.4973,0.0494,0.4836,9.4464,22.5627,17.0497,4.2671,1.9461,3.0647,23.5134,-3.7942
"Khalifa","Torres",2014,"Full Season","NBA","Warriors",21,1,113.5167,33,-4,13,26,0,1,7,18,2,22,29,7,0,10,4,0,0,6,17,0,0,0,0,0,0,0,0,0,0,246,227.6339,246,48,8626.761,17.3667,0.4725,0.037,0.6449,18.76175,26.6681,24.7517,8.6993,1.9792,3.9867,22.2618,-2.1225
"Fab","Zakharov",2010,"Full Season","NBA","Heat",77,40,1699.0667,465,21,183,375,7,26,78,92,15,28,111,233.5,0,57,39,0,0,6,111,0,0,0,1,0,0,0,0,0,0,3285,3175.0737,3285,504,7878.5083,13.8009,0.5266,0.0648,0.2294,3.0672,6.4006,6.358,22.4987,1.1916,0.138,11.4348,-1.4776
"Fab","Zakharov",2011,"Full Season","NBA","Jazz",64,43,1184.7333,310,108,89,204,31,69,39,47,3,20,83,125,0,60,21,0,0,1,71,0,0,0,2,0,0,0,0,0,0,2351.5,2221.5287,2351.5,354,9151.7841,14.1289,0.5256,0.2487,0.1784,2.0277,8.0422,5.6457,15.9109,0.8915,0.5383,16.9394,-2.299
"Elton","Bagaric",2013,"Full Season","NBA","Lakers",1,0,33.47,10,0,3,6,1,7,1,1,1,2,4,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,65.7645,65.7645,1887.76248513674,375.510701545779,8140.4974,19.2429,0.372,0.5385,0.0769,8.0116,14.5012,9.5015,0,0,4.714,6.9252,-2.47400635391924
"Mantzoukas","Shittu",2011,"Full Season","NBA","Bulls",97,0,1137.4667,244,154.5,84,154,0,0,76,155,28,122,215,33,0,71,22,0,0,54.5,174,0,0,0,0,0,0,0,0,0,0,2258.5,2127.842,2258.5,309,8865.1769,11.8577,0.5491,0,0.6449,13.1536,22.0483,16.9744,2.5395,1.0739,4.249,24.2156,-2.1828
"Mantzoukas","Shittu",2012,"Full Season","NBA","Bulls",72,5,1099.7,225,123,86,170,0,0,53,120,25,128.5,243,40,0,76,31,0,0,54.5,135,0,0,0,0,0,0,0,0,0,0,2117.5,2040.3304,2117.5,313,6449.2029,12.3991,0.5049,0,0.6449,13.7086,23.5369,19.666,7.9651,1.6258,5.172,25.4351,-0.7001
"Mantzoukas","Shittu",2013,"Full Season","NBA","Rockets",88,55,2671.6833,906,154.5,326,652,0,1,180.5,237,60.5,128.5,412,78,0,170,49,0,0,54.5,245,0,0,0,2,0,0,0,0,0,0,5553.5,5345.3871,5553.5,1025,8491.2095,16.2127,0.5626,0.0015,0.5299,11.9549,29.4594,22.634,7.1451,1.191,2.6401,18.6823,-1.4012
"Mantzoukas","Shittu",2014,"Full Season","NBA","Rockets",54,23,1130.8,315,73,117,223,0,0,81,129,37,122,305,29,0,70,17,0,0,41,121,0,0,0,0,0,0,0,0,0,0,2358.5,2263.0482,2358.5,353,8543.4672,13.5298,0.563,0,0.5785,12.721,30.4834,22.2334,6.4833,0.964,2.8349,20.0137,-1.9559
"Mantzoukas","Shittu",2015,"Full Season","NBA","Pelicans",80,55,2061.0167,565,-14,215,422,0,0,135,232,60.5,128.5,412,78,0,100,34,0,0,54,154,0,0,0,2,0,0,0,0,0,0,4092,3923.7448,4092,648,7906.4437,13.821,0.539,0,0.5498,13.4542,29.0018,21.8067,4.5363,0.6868,2.1791,16.0236,-1.227
"Mantzoukas","Shittu",2016,"Full Season","NBA","Pelicans",68,55,1178.15,269,-209,104,195,0,0,61,112,38,120,294,26,0,60,21,0,0,23,124,0,0,0,2,0,0,0,0,0,0,2456.5,2375.5386,2456.5,311,7976.5993,11.4233,0.5506,0,0.5744,11.6719,28.5616,20.1078,5.5197,0.9386,1.9648,19.7187,-3.7828
"Mantzoukas","Shittu",2017,"Full Season","NBA","Pelicans",31,19,482.1,85,-59,31,65,0,0,23,39,13,48,115,15,10,14,5,22,5,10,51,0,0,0,0,0,0,0,0,0,0,1031.5,984.5084,1031.5,100,8129.6989,8.8366,0.5173,0,0.6,10.9393,24.1094,17.8549,4.9751,0.569,1.9703,14.5591,-3.6775
"Mantzoukas","Shittu",2018,"Full Season","NBA","Jazz",18,0,182.1,22,-32,9,22,0,0,4,13,4,9,38,3,10,9,2,3,2,4,20,0,0,0,0,0,0,0,0,0,0,399.5,379.1379,399.5,38,8897.0623,8.7349,0.3851,0,0.5536,6.6799,21.9311,13.0761,1.4617,0.6018,2.2494,25.5206,-7.8812
"Tolga","Konate",2021,"Full Season","NBA","Wizards",29,16,620.7833,174,-17,35,68,31,87,11,19,6,12,120,39,0,24,19,30,13,5,74,0,0,0,0,0,0,0,0,0,0,1429.5,1344.9828,1429.5,190,6397.06445,12.5059,0.5326,0.5613,0.1226,3.2331,20.7202,12.4632,8.6916,1.5744,1.0296,12.8096,-3.3347
"Grant","Joe",2012,"Full Season","NBA","Hornets",54,24,1088.3333,319,-18,140,260,0,1,39,63,32,86,179,74,0,46,53,0,0,46,118,0,0,0,1,0,0,0,0,0,0,2129,2002.0114,2129,342,6397.06445,14.5435,0.5524,0.0038,0.2414,10.9259,18.6351,14.2049,12.5703,2.8836,3.5863,13.7428,2.442
"Grant","Joe",2013,"Full Season","NBA","Jazz",57,3,742.15,208,7,94,171,0,0,20,50,16,60,139,71,0,47,22,0,0,17,107,0,0,0,0,0,0,0,0,0,0,1556,1433.3441,1556,245,7731.9176,14.5721,0.539,0,0.2941,7.894,22.583,14.3095,16.0864,1.802,1.9638,19.7138,-1.6517
"Grant","Joe",2014,"Full Season","NBA","Hawks",26,14,429.25,112,-23,52,102,0,0,8,20,14,42,83,28,0,29,25,0,0,10,47,0,0,0,0,0,0,0,0,0,0,890.5,843.5167,890.5,141,8453.8353,14.8332,0.5054,0,0.1961,11.1177,23.2607,16.9773,10.8949,3.0263,2.3468,20.7439,-1.1749
"McClintock","Magloire",2010,"Full Season","NBA","Trailblazers",42,4,421.6,111,-58,45,69,0,0,21,24,6,27,73,1,0,13,9,0,0,19,77,0,0,0,2,0,0,0,0,0,0,842.5,770.3597,842.5,95,7782.168,10.4352,0.6976,0,0.3478,8.2945,21.6824,15.6299,1.5416,1.2248,3.4494,14.0449,-2.4203
"McClintock","Magloire",2012,"Full Season","NBA","Pacers",24,1,114.8667,36,-2,16,39,0,0,4,7,4,12,23,4,0,2,3,0,0,2,18,0,0,0,0,0,0,0,0,0,0,228,216.1819,228,45,7021.8334,17.4396,0.4278,0,0.1795,12.4559,21.819,16.2423,6.9446,1.2526,1.7724,4.5372,-3.4346
"McClintock","Magloire",2013,"Full Season","NBA","Pacers",46,0,440.2333,161,42,67,145,2,5,21,23,11,33,89,16,0,26,6,0,0,14,58,0,0,0,2.5,0,0,0,0,0,0,907.5,822.1068,907.5,190,9029.044,19.3607,0.5027,0.0333,0.1533,7.7893,21.1192,15.2173,5.8536,0.9086,2.5823,13.9695,-2.3859
"McClintock","Magloire",2014,"Full Season","NBA","Spurs",90,10,1017.3667,257,127,107,187,0,0,43,63,17,95,182,65,0,64,13,0,0,25,152,0,0,0,1,0,0,0,0,0,0,2147.5,2002.36,2147.5,284,9747.08485,12.45,0.5985,0,0.3369,10.6476,19.8021,15.9129,11.1763,0.8464,2.2039,22.9621,-1.8602
"McClintock","Magloire",2015,"Full Season","NBA","Spurs",54,0,394.7667,137,-49,55,96,0,0,27,36,4,37,83,16,0,26,8,0,0,8,60,0,0,0,1,0,0,0,0,0,0,821,771.6974,821,142,8468.2761,15.8685,0.6125,0,0.375,10.1624,25.2178,17.7724,5.4889,1.2949,1.6979,18.8624,-2.0896
"McClintock","Magloire",2016,"Full Season","NBA","Clippers",19,0,109.0167,33,-42,13,23,0,1,7,7,3,4,18,5,0,6,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,237,217.2368,237,33,8476.9165,13.7114,0.6093,0.0417,0.2917,3.0369,17.6252,11.2261,5.2792,0,2.2843,18.1378,-5.2095
"Marcelo","McCalebb",2014,"Full Season","NBA","Celtics",14,0,132.3167,22,-17,2,3,6,27,0,0,0,4,13,3,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,274,257.1922,274,33,7670.0876,11.0644,0.3667,0.9,0,4.3873,11.8701,6.9651,5.2927,2.5601,0,9.0909,-5.9573
"Valerio","Kraag",2011,"Full Season","NBA","Trailblazers",24,0,137.3,36,-31,12,39,3,16,3,9,2,6,24,6,0,8,2,0,0,2,15,0,0,0,0,0,0,0,0,0,0,292.5,250.5384,292.5,67,7753.3689,22.9196,0.33845,0.2909,0.1636,5.485,21.0421,14.9065,9.5396,0.8085,1.5689,11.9474,-9.79585
